constructorId,url,name,nationality
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
alphatauri,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,AlphaTauri,Italian
alpine,http://en.wikipedia.org/wiki/Alpine_F1_Team,Alpine F1 Team,French
aston_martin,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,Aston Martin,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
haas,http://en.wikipedia.org/wiki/Haas_F1_Team,Haas F1 Team,American
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
red_bull,http://en.wikipedia.org/wiki/Red_Bull_Racing,Red Bull,Austrian
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
